name,line
Peppa, A Trip to the Moon
Narrator," It’s a lovely sunny day, Peppa is playing with her bouncy ball"
Narrator, Peppa and George are watching Super Potato.
Super Potato, O-ha! Win a trip to Hollywood to star in my new film! Vegetables in Space!
Peppa and George, OOOOoooooo!!!
Super Potato," Just find the golden ticket to win the trip of a lifetime, to America!!!"
Peppa Pig," Mummy, can we find Super Potato's golden ticket, please?"
Mummy Pig," Well, there's only one ticket in the whole world. (Oink!) So we'd have to be very lucky to find it!"
Mummy Pig , oh! What's this in the potato?
Daddy Pig , it's the golden ticket!
Peppa Pig , does that mean.....
Mummy Pig  , Yes! it means we're going to
 , America!
Narrator , Peppa and her family are flying to America.
Narrator  , Miss Rabbit is the pilot.
Miss Rabbit ," This is your captain speaking, we'll soon be arriving in America, I think?"
Narrator, It is the beginning of the holidays
Narrator, Peppa is in the garden with her friends
Narrator, Peppa and her family are going to the beach. Peppa and George love going to the beach.
Mummy Pig, What a lot of stuff. We must be careful not to forget anything when we go.
Peppa Pig," Sunshade, beach bag, towels, buckets and spades, and a spotty ball."
Mummy Pig," Good. Now before you start playing, you need some sun cream on."
Narrator, The sun is very hot so Peppa and George have to have sun cream on.
Daddy Pig, Let’s try out this spotty ball.
Daddy Pig, It seems to work.
Narrator, What a great spotty ball.
Peppa Pig," George, you throw the ball and I will catch it."
Peppa Pig," George, catch."
Narrator," Oh, dear. George is too little to catch the ball."
Daddy Pig," Never mind, George. Would you and Peppa like to have a paddle in the sea?"
Peppa Pig," Yes, please, Daddy."
Daddy Pig, Let’s put your water wings on.
Daddy Pig," There we go. You look very smart in your water wings, George."
Peppa Pig," My turn, my turn."
Daddy Pig, Good. Now we can play in the water.
Peppa Pig, Hurrah!
Mummy Pig, Is the water cold?
Daddy Pig, It’s lovely and warm.
Daddy Pig, Steady on.
Mummy Pig," You started it, Daddy Pig."
Daddy Pig, Maybe that’s enough splashing.
Peppa Pig and George, Whee!
Peppa Pig," Daddy, I love being at the beach."
Narrator, Peppa and George love the beach. Everyone loves the beach.
Mummy Pig," Peppa, George, would you like to play with your buckets and spades?"
Peppa Pig," Yes, please, Mummy."
Peppa Pig," Daddy, Daddy! Can we bury you in the sand?"
Daddy Pig," Uh, well..."
Peppa Pig," Please, Daddy."
Daddy Pig," Oh, all right."
Peppa Pig, Yippee!
Narrator, Peppa and George are burying Daddy Pig in the sand.
Daddy Pig, Steady on.
Mummy Pig, There.
Peppa Pig, Now you can’t escape.
Daddy Pig, My head is getting a bit hot. Can I have my straw hat?
Peppa Pig," Well, if you say please."
Daddy Pig, Please can I have my straw hat?
Peppa Pig," Yes, you may, Daddy."
Daddy Pig, That’s nice. Maybe I’ll just have a little sleep.
Peppa Pig," George, let’s make sand castles."
Narrator, Peppa and George are making sand castles.
Peppa Pig, First we put sand in the buckets like this.
Peppa Pig, We turn the buckets upside down and tap them.
Peppa Pig, And lift the bucket up. Hey presto!
Narrator, A sand castle.
George, Hey presto!
Narrator, Another sand castle.
Mummy Pig," Peppa, George, home time! Don’t leave any stuff behind."
Mummy Pig, Let’s check that we haven’t forgotten anything.
Peppa Pig," Towels, beach bag, sunshade, and a spotty ball. That’s everything."
Mummy Pig, I’m sure we’ve forgotten something.
Peppa Pig, Hmm?
Mummy Pig, Of course. We forgot the hat.
Peppa Pig, Daddy! We forgot Daddy!
Mummy Pig," Yes, we forgot Daddy Pig."
Daddy Pig, What?
Peppa Pig," Daddy, we almost left you behind. But George remembered you."
Daddy Pig," Well, I’m glad George remembered me."
Narrator, Peppa and George are having a fancy dress party. All their friends are invited. Peppa is dressed as a fairy princess. And George is dressed as a dinosaur.
George," Grrr, dinosaur."
Narrator," Here are Peppa’s friends, Candy Cat, Suzy Sheep, Danny Dog, Rebecca Rabbit, and Pedro Pony."
Narrator, Suzy is wearing her nurse’s costume.
Daddy Pig," Hello, Suzy."
Suzy Sheep," Hello, Mr Pig."
Daddy Pig, I’m glad the nurse has arrived. Have you just come from the hospital?
Suzy Sheep, I’m not a real nurse. It’s just pretend.
Daddy Pig," Very good. My my, who have we here?"
Danny Dog, I’m a pirate. Shiver me timbers.
Candy Cat, I’m a witch. I can turn you into a frog.
Pedro Pony, I’m a clown.
Daddy Pig, That’s funny.
Daddy Pig," What are you, Rebecca Rabbit?"
Rebecca Rabbit, I’m a carrot.
Daddy Pig, Fantastic. Come in. There’s a fairy princess and a dinosaur waiting to meet you.
Peppa Pig," Hello, everyone."
 Rebecca Rabbit," Hello, Peppa."
Peppa Pig," Hello, Suzy. I’m princess Peppa. You must bow when you speak to me."
Suzy Sheep," Hello, your majesty. I’m nurse Suzy. Open wide and say, “Aah.”"
Peppa Pig, Aah.
Pedro Pony, I’m a clown.
Rebecca Rabbit, Do something funny.
Danny Dog," Rebecca, why are you dressed as a carrot?"
Rebecca Rabbit, I like carrots.
George," Grrr, dinosaur."
Danny Dog, A scary dinosaur.
Narrator, Peppa is admiring herself in the mirror.
Peppa Pig," Mirror, mirror on the wall, who’s the fairest of them all?"
Peppa Pig," (as the mirror) You are, Peppa."
Candy Cat," Hello, Peppa."
Peppa Pig, Hello. I’m a little fairy princess.
Candy Cat, I’m a witch. And I’ve got a magic wand.
Peppa Pig, I’ve got a magic wand too.
Candy Cat, I can turn you into a frog.
Peppa Pig, And I’ll turn you into a frog.
George, Dinosaur. Grrr. (Gasps and cries)
Narrator," Oh, dear. George is scared of his own reflection."
Mummy Pig," Oh, silly George. Look, it’s you in the mirror."
George, (giggles) Grrr. (giggles)
Mummy Pig," Children, it’s time to decide who has the best fancy dress costume."
Daddy Pig, We need a judge.
The Children," Me, me!"
Daddy Pig," As it’s Peppa’s party, maybe she should be the judge."
Peppa Pig," I’m the judge, I’m the judge."
Peppa Pig," Daddy, what is a judge?"
Daddy Pig, The judge decides who has the best costume.
Peppa Pig," Oh, goody!"
Narrator, Peppa is going to choose who has the best costume.
Peppa Pig," Suzy, can I see your costume, please?"
Suzy Sheep, I’m nurse Suzy. I make people better.
Peppa Pig," Very good, nurse Suzy."
Peppa Pig, Now Danny.
Danny Dog, I’m a pirate. Shiver me timbers.
Peppa Pig, Now Candy.
Candy Cat, I’m a witch. I can turn you into a frog.
Peppa Pig," Well, I’m a fairy princess, and I can turn you into a frog."
Mummy Pig," Children, children."
Peppa Pig," Sorry, Mummy."
Mummy Pig, Who’s next?
Pedro Pony, I’m a clown.
Peppa Pig, That’s funny.
Peppa Pig, And Rebecca.
Rebecca Rabbit, I’m a carrot.
Peppa Pig, Lovely.
Peppa Pig, And my little brother George is a scary dinosaur.
George, Grrr.
Peppa Pig, Everyone’s costume is very good.
The Children, Hurrah!
Mummy Pig, Now you say who the winner is.
Peppa Pig," Oh, yes. Ahem. And the winner is...me!"
Mummy Pig," Peppa, you can’t pick yourself. You’re the judge."
Peppa Pig," Oh, can’t I?"
Mummy Pig, You have to pick another winner.
Peppa Pig, Okay. The carrot wins.
The Children, Hurrah!
Rebecca Rabbit, Thank you.
Narrator, Peppa loves fancy dress parties.
